promedio;promedio
x;y
279,4354401;203,5492249
280,6625214;195,9701691
279,5145264;190,7028732
279,9111634;188,7661209
279,2717285;189,0936966
278,9267578;188,7853928
278,6528168;188,8167038
278,4631806;188,8297043
278,2020264;188,7050019
278,0604401;188,7900925
277,9327851;188,9613342
277,9190522;189,2569657
277,9328919;189,3387452
277,816803;189,77388
277,7840576;189,7565003
277,5592499;190,1781845
278,2078094;189,744423
277,7372742;190,0968094
277,4328003;189,1738281
277,3088837;184,9350968
277,7446747;179,0362091
277,4663697;177,7215195
277,5124207;177,2138443
277,6241913;176,6730499
277,7168884;176,4049225
277,7306824;176,4379426
277,7809754;176,3641663
277,8087463;176,3229905
277,8855591;176,3204117
278,0858918;176,2568818
278,0397797;176,2795792
277,9877625;176,2947693
278,0135193;176,3966065
278,0811463;176,3999634
278,6175995;176,4889755
278,6039124;176,7087174
278,6283264;176,7661438
278,7155609;177,045929
278,6937409;177,1535645
278,7676392;177,3560105
277,394989;176,409584
277,164856;173,9693299
277,1697693;169,9697495
277,1302643;168,9327774
277,1697693;167,8600693
277,210495;167,4986039
277,2212067;167,6042709
277,1866913;167,0565186
277,2545013;167,576004
277,2848358;167,1565552
277,3950348;167,5489883
277,4829102;167,2094727
277,4277344;167,4972229
277,4706726;167,4649048
277,4667664;167,4681549
277,4206848;167,4990006
277,3858643;167,4957047
277,4127808;168,1688614
277,5586548;167,8372574
277,5961762;168,2863083
277,487442;168,1561585
277,5413056;168,7040558
277,5175171;168,6977768
277,828888;168,9515152
278,0116882;168,9946824
277,8457794;169,1502152
276,2651368;168,6375732
274,5460511;164,6314468
273,7032623;160,9294739
273,6635895;158,81073
273,2849426;158,4637146
272,92276;158,3934937
272,9235993;158,4093247
272,9064636;158,3956146
272,8816528;158,3534851
272,8730316;158,3000412
272,7681275;158,3392716
272,7225647;158,427269
272,7590179;158,4144669
272,6483155;158,5195084
272,7378235;158,5836868
272,8170166;158,7121125
273,1144867;158,7730561
271,8114929;157,3643646
270,7961426;153,2754135
269,8736572;150,6992111
269,9449616;149,560318
269,5660553;148,8128128
269,5649872;148,6060715
269,3735657;148,4971619
269,3699951;148,5360031
269,3971711;148,5199585
269,3993378;148,4941483
269,3384705;148,5060043
269,3357239;148,435524
269,098938;148,2240067
269,0852967;148,2737885
269,0789032;148,2613907
269,1059113;148,2467423
269,1174927;148,3611984
269,1174012;148,8741837
265,2531434;148,3235626
263,9789124;144,6172028
261,1095123;139,4291535
260,8509674;138,2874375
260,3628846;137,9981079
259,8639221;137,8027344
259,5222931;137,7515869
259,2349854;137,5825425
259,1899872;137,6738739
258,9777451;137,5287094
258,9832687;137,4878769
258,9536743;137,4784165
258,9798813;137,5058594
258,9738159;137,5045319
258,9448166;137,5611344
258,8585053;137,5841599
258,7428742;137,5692596
258,7187729;137,660286
258,5973053;137,713028
258,6596222;137,7074814
258,7425308;137,8843461
258,7149201;137,9466171
258,6990509;137,7665787
258,7974015;137,9799271
252,0614624;142,1173554
248,1103668;138,2698135
243,1130677;136,0350342
241,8380585;134,1364136
241,1350174;134,2187271
240,5170365;134,3707276
240,5611496;134,319809
240,2536469;134,1298599
240,0476456;134,3444214
240,0272141;134,3192597
239,7707138;134,4710083
239,6377869;134,5422211
239,5236893;134,6179505
239,4996643;134,6835938
239,4964295;134,6166459
239,3724671;134,7605591
239,277153;135,2075501
239,3308716;135,1743622
239,1788712;135,1513824
239,2135086;135,2321244
239,1495438;135,4075165
239,1696472;135,320694
238,9623642;135,538475
239,0135575;135,7693406
238,9498444;135,8657761
238,3723832;136,5075226
235,7426148;135,3676377
232,8273926;133,3768997
231,0756608;132,2188874
230,2496186;132,6297226
229,8356247;132,2515564
229,2057572;132,2133026
229,0421982;132,1493378
228,5954666;132,0195999
228,5262604;132,0139771
228,3982468;132,0472183
228,1477356;132,0531617
228,1088944;132,1347122
227,863823;132,2149125
227,8175736;132,3365479
227,6681137;132,3937683
226,0134812;134,7639084
222,1914063;134,1854325
216,3593445;133,195755
212,253563;132,0531616
210,4900284;131,9847031
209,6724549;131,7541504
208,7420197;131,974289
208,2426071;131,9601288
207,8383026;131,8246689
207,4522476;131,8864289
207,1084214;132,044632
207,0898895;132,1150742
206,9610138;132,244484
206,5346299;132,069664
206,4023514;132,106308
206,3424378;132,1400834
205,9538727;132,310463
205,8084565;132,3691483
205,6505509;132,4990616
205,5488358;132,4923249
205,4671326;132,4607163
205,3793717;132,7176819
205,2954865;132,6844254
205,0691681;132,8105393
204,9733277;132,8955231
204,9148026;133,0522537
204,9193802;133,0076905
204,8463593;133,1125794
204,7512055;133,1746902
204,5926666;133,4892807
204,548584;133,5475693
204,5565338;133,5928955
204,4521866;133,8285523
204,0796585;134,1591416
204,0632019;134,2445832
204,0093842;134,4704361
203,9796601;134,5637055
203,8934708;134,6589279
203,9284516;134,8170777
203,9369202;134,8102494
203,8696899;135,0595474
203,7937012;135,1548691
203,7074967;135,385582
203,663826;135,4150772
203,5736847;135,7812348
203,9435502;135,1629715
204,9057999;130,2790833
202,1578904;128,447712
200,0319519;126,6454392
198,620575;125,9762803
198,4027405;125,7442665
198,1837464;125,453228
198,1965942;125,4693337
198,0601196;125,5011864
198,0677261;125,4746399
197,9476242;125,4393044
197,9186631;125,4618645
198,012764;125,4185601
197,9780121;125,5597
197,985672;125,5377808
197,9635544;125,6982422
197,886879;125,9304619
197,9214935;126,0576248
197,907898;126,0544243
197,8548737;126,0895272
197,8395996;126,2888184
197,8056564;126,3259583
197,8961945;126,3390579
197,8407669;126,417347
197,8854065;126,4209442
197,9334335;126,7059784
197,9465637;126,9660606
197,9586334;127,0685158
198,1935577;127,1917649
198,1615067;127,3302613
198,1821518;127,35849
198,1163254;127,7103577
198,1011963;127,6967926
198,0704498;127,80476
198,0022812;128,1207085
197,9662476;128,106205
198,1750412;128,1154633
197,9926606;128,3125725
